sep =|
LocationId|Location|Iso3|Iso2|LocationTypeId|IndicatorId|Indicator|IndicatorDisplayName|SourceId|Source|Revision|VariantId|Variant|VariantShortName|VariantLabel|TimeId|TimeLabel|TimeMid|CategoryId|Category|EstimateTypeId|EstimateType|EstimateMethodId|EstimateMethod|SexId|Sex|AgeId|AgeLabel|AgeStart|AgeEnd|AgeMid|Value
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|86|15|15|15|15|0.00079747
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|113|16|16|16|16|0.00091098
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|113|16|16|16|16|0.00090841
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|113|16|16|16|16|0.00090975
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|114|17|17|17|17|0.00098638
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|114|17|17|17|17|0.00100333
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|114|17|17|17|17|0.00099444
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|115|18|18|18|18|0.00104421
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|115|18|18|18|18|0.00107234
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|115|18|18|18|18|0.00105759
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|116|19|19|19|19|0.00110341
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|116|19|19|19|19|0.00112897
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|116|19|19|19|19|0.00111556
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|92|20|20|20|20|0.00117767
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|92|20|20|20|20|0.0011765
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|92|20|20|20|20|0.00117712
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|118|21|21|21|21|0.00127183
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|118|21|21|21|21|0.00121723
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|118|21|21|21|21|0.00124591
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|119|22|22|22|22|0.00138166
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|119|22|22|22|22|0.00125242
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|119|22|22|22|22|0.0013203
